"Folketal den 1. i kvartalet efter civilstand, alder, køn, område og tid"

" ";" ";" ";" ";"2020K3"
"I alt"
" ";"I alt"
" ";" ";"I alt"
" ";" ";" ";"København";633035
" ";" ";" ";"Frederiksberg";104118
" ";" ";" ";"Dragør";14515
" ";" ";" ";"Tårnby";42785
" ";" ";" ";"Albertslund";27543
" ";" ";" ";"Ballerup";48916
" ";" ";" ";"Brøndby";35112
" ";" ";" ";"Gentofte";74773
" ";" ";" ";"Gladsaxe";69109
" ";" ";" ";"Glostrup";23322
" ";" ";" ";"Herlev";28933
" ";" ";" ";"Hvidovre";53422
" ";" ";" ";"Høje-Taastrup";50923
" ";" ";" ";"Ishøj";23018
" ";" ";" ";"Lyngby-Taarbæk";56046
" ";" ";" ";"Rødovre";40848
" ";" ";" ";"Vallensbæk";16510
" ";" ";" ";"Allerød";25637
" ";" ";" ";"Egedal";43424
" ";" ";" ";"Fredensborg";40971
" ";" ";" ";"Frederikssund";45425
" ";" ";" ";"Furesø";41011
" ";" ";" ";"Gribskov";41135
" ";" ";" ";"Halsnæs";31537
" ";" ";" ";"Helsingør";62966
" ";" ";" ";"Hillerød";51234
" ";" ";" ";"Hørsholm";24814
" ";" ";" ";"Rudersdal";56623
" ";" ";" ";"Bornholm";39497
" ";" ";" ";"Christiansø";87
" ";" ";" ";"Greve";50520
" ";" ";" ";"Køge";61184
" ";" ";" ";"Lejre";28107
" ";" ";" ";"Roskilde";88456
" ";" ";" ";"Solrød";23347
" ";" ";" ";"Faxe";36647
" ";" ";" ";"Guldborgsund";60433
" ";" ";" ";"Holbæk";71685
" ";" ";" ";"Kalundborg";48374
" ";" ";" ";"Lolland";40816
" ";" ";" ";"Næstved";83165
" ";" ";" ";"Odsherred";32955
" ";" ";" ";"Ringsted";34852
" ";" ";" ";"Slagelse";79155
" ";" ";" ";"Sorø";29872
" ";" ";" ";"Stevns";22840
" ";" ";" ";"Vordingborg";45426
" ";" ";" ";"Assens";40903
" ";" ";" ";"Faaborg-Midtfyn";51571
" ";" ";" ";"Kerteminde";23824
" ";" ";" ";"Langeland";12395
" ";" ";" ";"Middelfart";38998
" ";" ";" ";"Nordfyns";29631
" ";" ";" ";"Nyborg";31933
" ";" ";" ";"Odense";204718
" ";" ";" ";"Svendborg";58261
" ";" ";" ";"Ærø";5987
" ";" ";" ";"Billund";26560
" ";" ";" ";"Esbjerg";115650
" ";" ";" ";"Fanø";3486
" ";" ";" ";"Fredericia";51386
" ";" ";" ";"Haderslev";55518
" ";" ";" ";"Kolding";92995
" ";" ";" ";"Sønderborg";74083
" ";" ";" ";"Tønder";37174
" ";" ";" ";"Varde";49886
" ";" ";" ";"Vejen";42805
" ";" ";" ";"Vejle";116468
" ";" ";" ";"Aabenraa";58735
" ";" ";" ";"Favrskov";48393
" ";" ";" ";"Hedensted";46731
" ";" ";" ";"Horsens";91469
" ";" ";" ";"Norddjurs";36994
" ";" ";" ";"Odder";22888
" ";" ";" ";"Randers";98122
" ";" ";" ";"Samsø";3651
" ";" ";" ";"Silkeborg";94648
" ";" ";" ";"Skanderborg";63070
" ";" ";" ";"Syddjurs";43107
" ";" ";" ";"Aarhus";349433
" ";" ";" ";"Herning";89411
" ";" ";" ";"Holstebro";58685
" ";" ";" ";"Ikast-Brande";41395
" ";" ";" ";"Lemvig";19662
" ";" ";" ";"Ringkøbing-Skjern";56366
" ";" ";" ";"Skive";45728
" ";" ";" ";"Struer";20951
" ";" ";" ";"Viborg";96706
" ";" ";" ";"Brønderslev";36295
" ";" ";" ";"Frederikshavn";59353
" ";" ";" ";"Hjørring";64450
" ";" ";" ";"Jammerbugt";38357
" ";" ";" ";"Læsø";1776
" ";" ";" ";"Mariagerfjord";41687
" ";" ";" ";"Morsø";20214
" ";" ";" ";"Rebild";30359
" ";" ";" ";"Thisted";43383
" ";" ";" ";"Vesthimmerlands";36647
" ";" ";" ";"Aalborg";217316

